Name,Address,City,State,Zip Code,Latitude,Longitude,Cuisine Type,Review Count,Rating
Caifan Tacos Bar,"4542 Saint Denis Street Montreal, QC H2S 1R1 Canada",Montreal,QC,H2S 1R1,45.5241886,-73.58375260000001,Mexican,19,4.6
Restaurant Atma,"3962 Boulevard Saint-Laurent Montreal, QC H2W 1Y3 Canada",Montreal,QC,H2W 1Y3,45.5166568,-73.579113,Indian,79,3.9
C'ChoColat,"1255 Rue Bishop Montreal, QC H3G 2E2 Canada",Montreal,QC,H3G 2E2,45.49622,-73.57531,"Chocolatiers & Shops, Creperies, Sandwiches",265,4.2
Le Central,"30 Rue Sainte-Catherine O Montreal, QC H2X 3V4 Canada",Montreal,QC,H2X 3V4,45.50930935934862,-73.56292127116336,"Desserts, Food Court, Poutineries",43,4.4
Isle de Garde,"1039 Rue Beaubien Est Montreal, QC H2S 1T3 Canada",Montreal,QC,H2S 1T3,45.53756,-73.60205,Brasseries,69,4.2
Nos Thés,"1609 Rue Sainte-Catherine Ouest Montreal, QC H3H 2S7 Canada",Montreal,QC,H3H 2S7,45.494956,-73.57826,"Taiwanese, Tea Rooms",174,3.8
Resto Keela,"1237 Rue Atateken Montreal, QC H2L 3K9 Canada",Montreal,QC,H2L 3K9,45.516995,-73.5556896,"Modern European, Cocktail Bars",14,4.9
Aldea,"4403 Boulevard Saint-Laurent Montreal, QC H2W 1Z8 Canada",Montreal,QC,H2W 1Z8,45.5194122950185,-73.5848534494062,Portuguese,24,4.5
La Finca,"1067 Rue de Bleury Montreal, QC H2Z 1N1 Canada",Montreal,QC,H2Z 1N1,45.5043279884477,-73.5628843680024,"Breakfast & Brunch, Venues & Event Spaces, Cafes",184,4.5
Le Rouge Gorge,"1234 Mont-royal E Montreal, QC H2J 1Y2 Canada",Montreal,QC,H2J 1Y2,45.5291117540899,-73.5779781639576,"Wine Bars, Tapas/Small Plates",35,4.3
Allô! Mon Coco,"70 Rue Sainte-Catherine E Montreal, QC H2X 1K6 Canada",Montreal,QC,H2X 1K6,45.51059,-73.56296,Breakfast & Brunch,127,4.1
Cuisine AuntDai,"1448 Rue Saint Mathieu Montreal, QC H3H 2H9 Canada",Montreal,QC,H3H 2H9,45.49425,-73.58048,Chinese,91,4.3
Restaurant Fleurs et Cadeaux,"1002 Rue Saint-Urbain Montreal, QC H2Z 1K6 Canada",Montreal,QC,H2Z 1K6,45.506561,-73.560507,"Japanese, Wine Bars, Cafes",25,4.6
Foxy,"1638 Rue Notre-Dame O Montreal, QC H3J 1M1 Canada",Montreal,QC,H3J 1M1,45.489415,-73.567583,Canadian (New),143,4.1
Portus360,"777 Boulevard Robert-Bourassa Montreal, QC H3C 3Z7 Canada",Montreal,QC,H3C 3Z7,45.49997,-73.56242,Portuguese,80,3.8
Singh's,"3712 Boulevard Saint-Laurent Montreal, QC H2X 2V4 Canada",Montreal,QC,H2X 2V4,45.51456,-73.57461,Indian,112,4.0
Café St-Barth,"3500 Avenue du Parc Montreal, QC H2X 2H7 Canada",Montreal,QC,H2X 2H7,45.509475,-73.573846,"Cafes, Breakfast & Brunch, Juice Bars & Smoothies",50,4.6
Palme,"1487 Rue Sainte-Catherine E Montreal, QC H2L 2H9 Canada",Montreal,QC,H2L 2H9,45.52111,-73.55408,"Cajun/Creole, Caribbean",26,4.5
Ye Olde Orchard,"20 Rue Prince Arthur Montreal, QC H2X 1S3 Canada",Montreal,QC,H2X 1S3,45.51343,-73.5726,"Barbeque, Irish Pub",56,4.0
Montréal Plaza,"6230 Rue Saint-Hubert Montreal, QC H2S 2M2 Canada",Montreal,QC,H2S 2M2,45.534836,-73.600521,Canadian (New),116,4.5
Che Churros & Empanadas,"100 Rue Marie-Anne O Montreal, QC H2W 1B9 Canada",Montreal,QC,H2W 1B9,45.51767,-73.58522,Argentine,25,4.8
L’Entrepôt - Mont-Royal,"1019 Avenue du Mont-Royal E Montreal, QC H2J 1X7 Canada",Montreal,QC,H2J 1X7,45.527648,-73.579729,"Bars, Comfort Food, American",142,3.8
Dandy,"244 Rue Saint-Jacques Montreal, QC H2Y 1L9 Canada",Montreal,QC,H2Y 1L9,45.5033,-73.55857,Breakfast & Brunch,152,4.5
Pizzeria Magpie,"16 Rue Maguire Montreal, QC H2T 1B8 Canada",Montreal,QC,H2T 1B8,45.52461,-73.59544,Pizza,99,3.9
Fenêtre sur Kaboul,"901 Rue Rachel E Montreal, QC H2J 2J2 Canada",Montreal,QC,H2J 2J2,45.5244041,-73.5759533,"Afghan, Tea Rooms",65,4.3
Jacopo,"436 Place Jacques-Cartier Montreal, QC H2Y 3B3 Canada",Montreal,QC,H2Y 3B3,45.50772,-73.553255,"Cocktail Bars, Italian",105,3.8
Shawarmaz,"1340 Saint-Catherine Street West Montreal, QC H3G 1P6 Canada",Montreal,QC,H3G 1P6,45.4973876,-73.57524787359317,"Middle Eastern, Mediterranean",184,4.1
Pikolo Espresso Bar,"1635 Rue Clark Montreal, QC H2X 2R4 Canada",Montreal,QC,H2X 2R4,45.510731,-73.56674989999999,"Coffee & Tea, Breakfast & Brunch",316,4.3
Ibérica,"1450 Rue Peel Montreal, QC H3A Canada",Montreal,QC,H3A,45.50047,-73.57449,Tapas/Small Plates,77,3.9
Nil Bleu,"3706 Rue Saint-Denis Montreal, QC H2X 3L7 Canada",Montreal,QC,H2X 3L7,45.51834,-73.57125,"Ethiopian, Vegan",153,4.0
Acajou Br,"3425A Rue St-Denis Montreal, QC H2X 3L1 Canada",Montreal,QC,H2X 3L1,45.51743,-73.56797,"Brazilian, Tapas/Small Plates",64,4.1
Poutineville,"5145 Avenue du Parc Montreal, QC H2V 4G3 Canada",Montreal,QC,H2V 4G3,45.5202,-73.5966,Poutineries,42,4.2
L'Gros Luxe Mile End,"150 Rue Bernard O Montreal, QC H2T 2K2 Canada",Montreal,QC,H2T 2K2,45.52525,-73.60387,"Cocktail Bars, Breakfast & Brunch, Canadian (New)",87,3.9
La Raclette,"1059 Rue Gilford Montreal, QC H2J 1P7 Canada",Montreal,QC,H2J 1P7,45.5295503804062,-73.5827571103087,"Fondue, French",56,4.4
Vieux-Port Steakhouse,"39 Rue Saint Paul E Montreal, QC H2Y 1G2 Canada",Montreal,QC,H2Y 1G2,45.50617298481,-73.553588470931,"Venues & Event Spaces, Steakhouses",328,3.6
Liverpool House,"2501 Rue Notre-Dame O Montreal, QC H3J 1N6 Canada",Montreal,QC,H3J 1N6,45.4828859,-73.5752899,French,338,4.2
Gyubee Japanese Grill - Montreal,"1836 Sainte-Catherine Street West Montreal, QC H3H 1M1 Canada",Montreal,QC,H3H 1M1,45.4931297,-73.57967107576893,"Japanese, Barbeque",26,4.6
Le Cartet,"106 McGill Street Montreal, QC H2Y 2E5 Canada",Montreal,QC,H2Y 2E5,45.4994451,-73.55534469999999,"French, Breakfast & Brunch, Delicatessen",558,4.2
Thammada,"1205 Avenue Bernard O Montreal, QC H2V 1V5 Canada",Montreal,QC,H2V 1V5,45.52049,-73.60868,Thai,50,4.5
Keung Kee,"70 Rue de la Gauchetière O Montreal, QC H2Z 1C1 Canada",Montreal,QC,H2Z 1C1,45.50725,-73.56036,Cantonese,133,3.8
Maestro SVP,"3615 Boulevard Saint-Laurent Montreal, QC H2X 1V5 Canada",Montreal,QC,H2X 1V5,45.514196,-73.5729452,"Seafood, Live/Raw Food",127,3.8
Hà,"243 Avenue Mont-Royal O Montreal, QC H2T 2T2 Canada",Montreal,QC,H2T 2T2,45.51778,-73.58888,"Vietnamese, Laotian",98,3.9
